Run,Horizon,Theta,Choice,Policy,Loc_Dep,Joint,Doubly,beta,gamma,Profit
22,7,1.75,0,DCPP,1,0,0,0.0,1.0,233.16666666666663
23,7,1.75,0,DCPP,1,0,0,0.0,1.0,228.025
24,7,1.75,0,DCPP,1,0,0,0.0,1.0,229.53333333333333
25,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.34166666666667
26,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.8
27,7,1.75,0,DCPP,1,0,0,0.0,1.0,231.8083333333333
28,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.79166666666663
29,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.575
30,7,1.75,0,DCPP,1,0,0,0.0,1.0,239.31666666666663
31,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.76666666666668
32,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.36666666666667
33,7,1.75,0,DCPP,1,0,0,0.0,1.0,227.25833333333333
34,7,1.75,0,DCPP,1,0,0,0.0,1.0,222.425
35,7,1.75,0,DCPP,1,0,0,0.0,1.0,230.6
36,7,1.75,0,DCPP,1,0,0,0.0,1.0,234.775
37,7,1.75,0,DCPP,1,0,0,0.0,1.0,237.85833333333332
38,7,1.75,0,DCPP,1,0,0,0.0,1.0,233.025
39,7,1.75,0,DCPP,1,0,0,0.0,1.0,238.10833333333332
0,7,1.25,1,DCPP,1,0,0,0.0,1.0,257.40833333333336
1,7,1.25,1,DCPP,1,0,0,0.0,1.0,253.23333333333332
2,7,1.25,1,DCPP,1,0,0,0.0,1.0,255.63333333333333
3,7,1.25,1,DCPP,1,0,0,0.0,1.0,259.9
4,7,1.25,1,DCPP,1,0,0,0.0,1.0,256.80833333333334
5,7,1.25,1,DCPP,1,0,0,0.0,1.0,263.725
6,7,1.25,1,DCPP,1,0,0,0.0,1.0,263.81666666666666
7,7,1.25,1,DCPP,1,0,0,0.0,1.0,255.8333333333333
8,7,1.25,1,DCPP,1,0,0,0.0,1.0,257.475
9,7,1.25,1,DCPP,1,0,0,0.0,1.0,252.025
10,7,1.25,1,DCPP,1,0,0,0.0,1.0,251.45
11,7,1.25,1,DCPP,1,0,0,0.0,1.0,253.25833333333333
12,7,1.25,1,DCPP,1,0,0,0.0,1.0,261.2916666666667
13,7,1.25,1,DCPP,1,0,0,0.0,1.0,262.575
14,7,1.25,1,DCPP,1,0,0,0.0,1.0,259.15
15,7,1.25,1,DCPP,1,0,0,0.0,1.0,261.9916666666667
16,7,1.25,1,DCPP,1,0,0,0.0,1.0,267.075
17,7,1.25,1,DCPP,1,0,0,0.0,1.0,266.9
18,7,1.25,1,DCPP,1,0,0,0.0,1.0,258.51666666666665
19,7,1.25,1,DCPP,1,0,0,0.0,1.0,258.89166666666665
20,7,1.25,1,DCPP,1,0,0,0.0,1.0,261.09166666666664
21,7,1.25,1,DCPP,1,0,0,0.0,1.0,267.875
22,7,1.25,1,DCPP,1,0,0,0.0,1.0,258.0416666666667
23,7,1.25,1,DCPP,1,0,0,0.0,1.0,253.1
24,7,1.25,1,DCPP,1,0,0,0.0,1.0,259.525
25,7,1.25,1,DCPP,1,0,0,0.0,1.0,266.7916666666667
26,7,1.25,1,DCPP,1,0,0,0.0,1.0,256.09166666666664
27,7,1.25,1,DCPP,1,0,0,0.0,1.0,255.54166666666663
28,7,1.25,1,DCPP,1,0,0,0.0,1.0,258.44166666666666
29,7,1.25,1,DCPP,1,0,0,0.0,1.0,261.18333333333334
30,7,1.25,1,DCPP,1,0,0,0.0,1.0,264.48333333333335
31,7,1.25,1,DCPP,1,0,0,0.0,1.0,257.96666666666664
32,7,1.25,1,DCPP,1,0,0,0.0,1.0,267.56666666666666
33,7,1.25,1,DCPP,1,0,0,0.0,1.0,255.9
34,7,1.25,1,DCPP,1,0,0,0.0,1.0,246.69166666666663
35,7,1.25,1,DCPP,1,0,0,0.0,1.0,258.025
